time,battery_state,rrp,export_kw,import_kw,grid_import_kwh,grid_export_kwh,cumulative_cost,cumulative_revenue,cumulative_profit
10/01/2025 19:30,1.524,174.74,0,1.26,0,0.815,42.1851099,26.24189905,-15.94321085
10/01/2025 19:35,0.604,176.12,0,1.104,0,0.828,42.1851099,26.38772641,-15.79738349
10/01/2025 19:40,0,170.52,0,1.164,0,0.507,42.1851099,26.47418005,-15.71092985
10/01/2025 19:45,0,149.96,0,1.224,0.102,0,42.21142253,26.47418005,-15.73724248
10/01/2025 19:50,0,139.13,0,1.224,0.102,0,42.2366305,26.47418005,-15.76245045
10/01/2025 19:55,0,139.04,0,1.224,0.102,0,42.2618293,26.47418005,-15.78764925
10/01/2025 20:00,0,135.89,0,1.14,0.095,0,42.28499951,26.47418005,-15.81081946
10/01/2025 20:05,0,134.16,0,1.164,0.097,0,42.30848971,26.47418005,-15.83430966
10/01/2025 20:10,0,134.78,0,1.236,0.103,0,42.33349677,26.47418005,-15.85931672
10/01/2025 20:15,0,133.46,0,1.116,0.093,0,42.3559532,26.47418005,-15.88177315
10/01/2025 20:20,0,132.49,0,1.464,0.122,0,42.38529384,26.47418005,-15.91111379
10/01/2025 20:25,0,131.22,0,2.7,0.225,0,42.43911991,26.47418005,-15.96493986
10/01/2025 20:30,0,130.45,0,1.056,0.088,0,42.46010413,26.47418005,-15.98592408
10/01/2025 20:35,0,130.8,0,0.492,0.041,0,42.46989522,26.47418005,-15.99571517
10/01/2025 20:40,0,126.13,0,2.256,0.188,0,42.51391297,26.47418005,-16.03973292
10/01/2025 20:45,0,128,0,1.728,0.144,0,42.54789798,26.47418005,-16.07371793
10/01/2025 20:50,0,127.93,0,1.8,0.15,0,42.58328853,26.47418005,-16.10910848
10/01/2025 20:55,0,123.63,0,2.184,0.182,0,42.62544646,26.47418005,-16.15126641
10/01/2025 21:00,0,115.7,0,1.212,0.101,0,42.64804087,26.47418005,-16.17386082
10/01/2025 21:05,0,135.89,0,1.272,0.106,0,42.67389395,26.47418005,-16.1997139
10/01/2025 21:10,0,158.11,0,0.24,0.02,0,42.67921629,26.47418005,-16.20503624
10/01/2025 21:15,0,144.08,0,0.24,0.02,0,42.68425803,26.47418005,-16.21007798
10/01/2025 21:20,0,135.39,0,0.324,0.027,0,42.69082975,26.47418005,-16.2166497
10/01/2025 21:25,0,149.48,0,0.36,0.03,0,42.69855436,26.47418005,-16.22437431
10/01/2025 21:30,0,136.32,0,0.264,0.022,0,42.70392956,26.47418005,-16.22974951
10/01/2025 21:35,0,127.92,0,0.228,0.019,0,42.70841217,26.47418005,-16.23423212
10/01/2025 21:40,0,112.2,0,0.24,0.02,0,42.71281631,26.47418005,-16.23863626
10/01/2025 21:45,0,116.02,0,0.384,0.032,0,42.71998517,26.47418005,-16.24580512
10/01/2025 21:50,0,115.68,0,0.336,0.028,0,42.72624841,26.47418005,-16.25206836
10/01/2025 21:55,0,114.94,0,0.216,0.018,0,42.73026146,26.47418005,-16.25608141
10/01/2025 22:00,0,113.16,0,0.216,0.018,0,42.73424246,26.47418005,-16.26006241
10/01/2025 22:05,0,108.89,0,0.264,0.022,0,42.7390142,26.47418005,-16.26483415
10/01/2025 22:10,0,115.9,0,0.312,0.026,0,42.74483578,26.47418005,-16.27065573
10/01/2025 22:15,0,112.66,0,0.324,0.027,0,42.75079379,26.47418005,-16.27661374
10/01/2025 22:20,0,108.89,0,0.216,0.018,0,42.75469793,26.47418005,-16.28051788
10/01/2025 22:25,0,108.89,0,0.216,0.018,0,42.75860208,26.47418005,-16.28442203
10/01/2025 22:30,0,111.61,0,0.276,0.023,0,42.76365327,26.47418005,-16.28947322
10/01/2025 22:35,0,114.37,0,0.336,0.028,0,42.76987983,26.47418005,-16.29569978
10/01/2025 22:40,0,113.63,0,0.252,0.021,0,42.7745342,26.47418005,-16.30035415
10/01/2025 22:45,0,103.9,0,0.216,0.018,0,42.77834853,26.47418005,-16.30416848
10/01/2025 22:50,0,110.13,0,0.216,0.018,0,42.78227499,26.47418005,-16.30809494
10/01/2025 22:55,0,108.89,0,0.288,0.024,0,42.78748052,26.47418005,-16.31330047
10/01/2025 23:00,0,108.89,0,0.312,0.026,0,42.79311984,26.47418005,-16.31893979
10/01/2025 23:05,0,100.65,0,0.216,0.018,0,42.79687567,26.47418005,-16.32269562
10/01/2025 23:10,0,109.01,0,0.204,0.017,0,42.80056496,26.47418005,-16.32638491
10/01/2025 23:15,0,98.85,0,0.24,0.02,0,42.8047021,26.47418005,-16.33052205
10/01/2025 23:20,0,98.2,0,0.288,0.024,0,42.80965107,26.47418005,-16.33547102
10/01/2025 23:25,0,99.45,0,0.3,0.025,0,42.81483749,26.47418005,-16.34065744
10/01/2025 23:30,0,108.89,0,0.204,0.017,0,42.81852474,26.47418005,-16.34434469
10/01/2025 23:35,0,105.92,0,0.204,0.017,0,42.8221615,26.47418005,-16.34798145
10/01/2025 23:40,0,112.23,0,0.276,0.023,0,42.82722695,26.47418005,-16.3530469
10/01/2025 23:45,0,111.96,0,0.276,0.023,0,42.83228619,26.47418005,-16.35810614
10/01/2025 23:50,0,113.28,0,0.276,0.023,0,42.83737579,26.47418005,-16.36319574
10/01/2025 23:55,0,113.34,0,0.192,0.016,0,42.84091735,26.47418005,-16.3667373
11/01/2025 0:00,0,124.41,0,0.216,0.018,0,42.84510085,26.47418005,-16.3709208
11/01/2025 0:05,0,129.12,0,0.288,0.024,0,42.8507919,26.47418005,-16.37661185
11/01/2025 0:10,0,128.65,0,0.252,0.021,0,42.8557617,26.47418005,-16.38158165
11/01/2025 0:15,0,112.99,0,0.264,0.022,0,42.86062363,26.47418005,-16.38644358
11/01/2025 0:20,0,108.76,0,0.204,0.017,0,42.86430867,26.47418005,-16.39012862
11/01/2025 0:25,0,108.89,0,0.24,0.02,0,42.86864661,26.47418005,-16.39446656
11/01/2025 0:30,0,98.49,0,0.288,0.024,0,42.87360254,26.47418005,-16.39942249
11/01/2025 0:35,0,99.16,0,0.216,0.018,0,42.87733154,26.47418005,-16.40315149
11/01/2025 0:40,0,100.58,0,0.264,0.022,0,42.88192046,26.47418005,-16.40774041
11/01/2025 0:45,0,100.6,0,0.24,0.02,0,42.8860926,26.47418005,-16.41191255
11/01/2025 0:50,0,101.12,0,0.264,0.022,0,42.89069339,26.47418005,-16.41651334
11/01/2025 0:55,0,101.16,0,0.288,0.024,0,42.8957134,26.47418005,-16.42153335
11/01/2025 1:00,0,101.96,0,0.192,0.016,0,42.89907287,26.47418005,-16.42489282
11/01/2025 1:05,0,103.41,0,0.204,0.017,0,42.90266696,26.47418005,-16.42848691
11/01/2025 1:10,0,102.79,0,0.276,0.023,0,42.90751529,26.47418005,-16.43333524
11/01/2025 1:15,0,102.16,0,0.288,0.024,0,42.9125593,26.47418005,-16.43837925
11/01/2025 1:20,0,113.86,0,0.264,0.022,0,42.91744037,26.47418005,-16.44326032
11/01/2025 1:25,0,113.16,0,0.192,0.016,0,42.92097905,26.47418005,-16.446799
11/01/2025 1:30,0,108.89,0,0.192,0.016,0,42.9244494,26.47418005,-16.45026935
11/01/2025 1:35,0,126.42,0,0.288,0.024,0,42.93007565,26.47418005,-16.4558956
11/01/2025 1:40,0,126.37,0,0.324,0.027,0,42.93640382,26.47418005,-16.46222377
11/01/2025 1:45,0,127.02,0,0.228,0.019,0,42.94086934,26.47418005,-16.46668929
11/01/2025 1:50,0,116.02,0,0.192,0.016,0,42.94445377,26.47418005,-16.47027372
11/01/2025 1:55,0,121.67,0,0.204,0.017,0,42.94835828,26.47418005,-16.47417823
11/01/2025 2:00,0,121.84,0,0.276,0.023,0,42.95364476,26.47418005,-16.47946471
11/01/2025 2:05,0,116.2,0,0.372,0.031,0,42.96059518,26.47418005,-16.48641513
11/01/2025 2:10,0,121.73,0,0.24,0.02,0,42.96518992,26.47418005,-16.49100987
11/01/2025 2:15,0,118.28,0,0.204,0.017,0,42.9690368,26.47418005,-16.49485675
11/01/2025 2:20,0,123.59,0,0.204,0.017,0,42.97297394,26.47418005,-16.49879389
11/01/2025 2:25,0,134.5,0,0.276,0.023,0,42.97855161,26.47418005,-16.50437156
11/01/2025 2:30,0,135.51,0,0.276,0.023,0,42.9841525,26.47418005,-16.50997245
11/01/2025 2:35,0,138.96,0,0.24,0.02,0,42.98909184,26.47418005,-16.51491179
11/01/2025 2:40,0,146.99,0,0.252,0.021,0,42.99444677,26.47418005,-16.52026672
11/01/2025 2:45,0,142.91,0,0.228,0.019,0,42.9992142,26.47418005,-16.52503415
11/01/2025 2:50,0,143.59,0,0.276,0.023,0,43.00500093,26.47418005,-16.53082088
11/01/2025 2:55,0,145.99,0,0.252,0.021,0,43.01033486,26.47418005,-16.53615481
11/01/2025 3:00,0,146.21,0,0.192,0.016,0,43.01440234,26.47418005,-16.54022229
11/01/2025 3:05,0,131.94,0,0.228,0.019,0,43.01896133,26.47418005,-16.54478128
11/01/2025 3:10,0,142.2,0,0.3,0.025,0,43.0252165,26.47418005,-16.55103645
11/01/2025 3:15,0,161.01,0,0.288,0.024,0,43.03167291,26.47418005,-16.55749286
11/01/2025 3:20,0,168.92,0,0.204,0.017,0,43.03638067,26.47418005,-16.56220062
11/01/2025 3:25,0,153.24,0,0.204,0.017,0,43.04082187,26.47418005,-16.56664182
11/01/2025 3:30,0,148.06,0,0.192,0.016,0,43.04491894,26.47418005,-16.57073889
11/01/2025 3:35,0,146.36,0,0.336,0.028,0,43.05204122,26.47418005,-16.57786117
11/01/2025 3:40,0,150,0,0.312,0.026,0,43.0587494,26.47418005,-16.58456935
11/01/2025 3:45,0,153.66,0,0.204,0.017,0,43.06319774,26.47418005,-16.58901769
11/01/2025 3:50,0,158.21,0,0.192,0.016,0,43.06745721,26.47418005,-16.59327716
11/01/2025 3:55,0,157.18,0,0.216,0.018,0,43.07223058,26.47418005,-16.59805053
11/01/2025 4:00,0,156.7,0,0.288,0.024,0,43.07858355,26.47418005,-16.6044035
11/01/2025 4:05,0,154.36,0,0.288,0.024,0,43.08488035,26.47418005,-16.6107003
11/01/2025 4:10,0,143.08,0,0.228,0.019,0,43.08965101,26.47418005,-16.61547096
11/01/2025 4:15,0,144.22,0,0.204,0.017,0,43.09393887,26.47418005,-16.61975882
11/01/2025 4:20,0,144.25,0,0.24,0.02,0,43.09898401,26.47418005,-16.62480396
11/01/2025 4:25,0,144.12,0,0.276,0.023,0,43.10478293,26.47418005,-16.63060288
11/01/2025 4:30,0,151.39,0,0.228,0.019,0,43.10971147,26.47418005,-16.63553142
11/01/2025 4:35,0,153.85,0,0.228,0.019,0,43.11468675,26.47418005,-16.6405067
11/01/2025 4:40,0,141.89,0,0.252,0.021,0,43.11993459,26.47418005,-16.64575454
11/01/2025 4:45,0,139.65,0,0.264,0.022,0,43.12538304,26.47418005,-16.65120299
11/01/2025 4:50,0,136.62,0,0.288,0.024,0,43.13125409,26.47418005,-16.65707404
11/01/2025 4:55,0,117.95,0,0.192,0.016,0,43.1348694,26.47418005,-16.66068935
11/01/2025 5:00,0,140.81,0,1.752,0.146,0,43.17119669,26.47418005,-16.69701664
11/01/2025 5:05,0,114.83,0,0.54,0.045,0,43.18122435,26.47418005,-16.7070443
11/01/2025 5:10,0,116.62,0,0.516,0.043,0,43.19088331,26.47418005,-16.71670326
11/01/2025 5:15,0,118.69,0,0.348,0.029,0,43.19745753,26.47418005,-16.72327748
